ARC,1,2,3,4,5,6,mean,desvest,confidence interval
aacA7,1.052400251,1.072342912,1.062230673,1.140502821,1.01343277,1.102204442,1.073852311,0.04357564996,0.03486714114
dfrA21,1.092962879,1.060179077,1.148083536,1.001387011,1.105874045,1.040972964,1.074909918,0.0517945891,0.0414435413
BEL1,1.06868016,1.102406578,1.095996478,1.070707614,1.06273149,1.076258956,1.079463546,0.01601811122,0.01281692287
aacA2,1.147546473,1.165290476,1.121936509,1.052072614,1.029837788,1.026184799,1.09047811,0.06185334212,0.04949207211
aacA27,1.077023035,1.073479597,1.131537927,1.14844293,1.076205303,1.057351385,1.094006696,0.03672112433,0.02938247912
OXA10,1.081481728,1.105150734,1.110339017,1.093385509,1.108713584,1.084634654,1.097284205,0.01255285099,0.01004418816
aacC2,1.05499296,1.081053214,1.139171356,1.078611056,1.09650621,1.140055714,1.098398418,0.03457679218,0.02766668757
aacA3,1.132148014,1.108616076,1.093659222,1.131667345,1.083147436,1.048998198,1.099706049,0.03173462485,0.02539252185
aacA59,1.117951421,1.078425003,1.083423358,1.102491441,1.112794695,1.115495103,1.101763503,0.01705209161,0.0136442643
aacA45,1.057963584,1.247222485,1.055030664,1.172167345,1.03123713,1.049306011,1.102154536,0.08711170736,0.06970260222
aadA5,1.088529407,1.076156372,1.090082371,1.142498295,1.118711585,1.125121866,1.106849983,0.02570702434,0.02056952557
aacA47,1.091850093,1.112540317,1.102049014,1.18325524,1.051421893,1.143521224,1.114106297,0.04520910882,0.03617415643
ereA3,1.076505647,1.136203284,1.110610674,1.114539896,1.126849538,1.148563676,1.118878786,0.02501013536,0.0200119085
aacA42,0.8493529206,1.28415282,1.19880092,1.351726797,0.8803005254,1.339102506,1.150572748,0.228015996,0.1824474431
aadA11,1.142414543,1.14081322,1.103588121,1.197956197,1.173802442,1.16288825,1.153577129,0.03240889878,0.02593204345
aphA16,1.199188389,1.281682165,1.227385926,1.041756316,1.190843953,1.156589986,1.182907789,0.08084440341,0.06468780677
ereA2,1.253014445,1.463179319,1.338897496,1.335587059,1.441004549,1.494072378,1.387625875,0.09283446997,0.07428168187
