ARC,1,2,3,4,5,6,mean,desvest,confidence interval
aadA11,1.005396881,0.9776132157,0.9911272778,1.02287209,0.987078105,1.007397676,0.9985808743,0.01638151164,0.01310769843
aadA13,0.9905917868,0.9783443547,0.971754555,1.04546404,0.8899277619,0.943251756,0.9698890423,0.05161106018,0.04129669027
aadA16,1.023922666,0.9838108446,0.9780563503,0.9895602971,0.9858268031,0.9912512823,0.992071374,0.01627964859,0.01302619251
aadA24,0.9675244389,0.9507415861,0.9281815159,0.9554005098,0.9475577423,0.9783143883,0.9546200302,0.01727697193,0.01382420273
aadA28,1.006139008,0.9992832655,0.8678687756,0.9942507405,0.9776638767,1.003114458,0.9747200208,0.05329925655,0.04264750389
aadA29,1.003063749,1.01520368,0.9938536814,0.9973256962,1.000499777,1.026791748,1.006123055,0.01247849554,0.009984692497
aadA34,1.02468261,1.002106605,1.012135109,1.021355875,1.009049255,1.00643736,1.012627802,0.008758579381,0.007008194342
aadB,0.9810000567,0.9507212725,0.9480518839,0.9609628056,0.9579808037,0.9545331675,0.9588749983,0.01180805891,0.009448241323
aphA15,1.030080408,1.006116025,0.9864674571,1.007704736,1.025475289,1.003384245,1.00987136,0.01587772253,0.01270459059
aphA16,0.7388217824,0.7552167062,0.729530561,0.7299420834,0.7860473614,0.743012852,0.7470952244,0.02131239403,0.01705315357
sat2,1.002587264,1.008818205,1.006681303,1.000625962,1.010838847,0.9795568462,1.001518071,0.01141106668,0.009130587214
arr5,0.9883289445,0.9984339793,0.9978254316,0.9942200342,1.000977282,0.9962654922,0.9960085273,0.004384363414,0.003508156921
arr6,0.9885652886,1.001078915,0.9872729926,1.006897401,1.003422228,1.002821904,0.9983431216,0.008302660397,0.006643389879
arr7,1.02282819,1.045641378,1.05578451,1.069898484,1.072296239,1.051689605,1.053023068,0.01806576037,0.01445535333
catB2,0.8707216134,0.84312553,0.8553929079,0.8208547837,0.8340718153,0.8449235277,0.844848363,0.01717796348,0.01374498092
catB3,0.9811831499,0.9737238938,0.9737267737,0.9814286525,0.9823941137,0.9792991948,0.9786259631,0.003926291208,0.003141629554
catB5,0.9449626015,0.9327671201,0.9432336694,0.9459294269,0.9383683834,0.9394792992,0.9407900834,0.00493446245,0.003948319735
catB6,0.9598839489,0.9632018574,0.957495393,0.9594346614,0.951215716,0.9595573828,0.9584648266,0.00400192539,0.003202148391
catB10,0.9824684508,0.9850258791,0.9921877558,0.9916999531,0.9961925346,0.9849577578,0.9887553886,0.005359469632,0.00428839006
ereA2,0.8864883579,0.8674359271,0.8869412625,0.8459763245,0.849131337,0.8588240742,0.8657995472,0.0178724557,0.01430068022
ereA3,0.9170083381,0.9222255883,0.9322384173,0.9202260778,0.9206976197,0.9140533987,0.9210749066,0.006207244919,0.004966739105
fosC2,0.9429380556,0.9386147207,0.9574585512,0.9414675583,0.9455496295,0.9540518601,0.9466800626,0.007456804288,0.005966576467
fosE,0.9802843615,0.9816236445,0.9714660077,0.9830962705,0.9735710766,0.9829933339,0.9788391158,0.005046547128,0.004038004508
fosF,0.9740090641,0.9714771725,0.9714716233,0.9849793014,0.9660478959,0.9746470126,0.9737720116,0.006271286979,0.005017982484
fosG,0.9746048631,0.968339349,0.9789240177,0.9776865177,0.984315683,0.9732509152,0.9761868909,0.005450223583,0.00436100701
fosH,0.9693975736,0.9629637328,0.9648064627,0.9608853675,0.9577111137,0.9602739028,0.9626730255,0.004084793532,0.003268455497
fosI,0.9912009552,0.9898467204,0.9925063199,0.9889518895,0.9927100906,0.9925941059,0.9913016803,0.001597104304,0.001277926118
fosK,0.9471742267,0.9552707624,0.9487047628,0.9631955574,0.9171161918,0.9419733599,0.9455724768,0.01574623973,0.01259938437
fosL,0.9963080461,1.005951151,1.000171097,1.011899132,1.003790349,1.005946684,1.004011077,0.005364004439,0.004292018594
fosM,1.009638751,0.9983333378,0.9962675985,1.009737904,0.9946176132,0.9702399218,0.996472521,0.01445278219,0.0115644218
fosN,0.9726441771,0.9752957542,0.9646571733,0.9708540061,0.9663204541,0.976317962,0.9710149211,0.004724132116,0.003780023509
smr2,0.9705643577,0.9623105912,0.9595709745,0.9728230661,0.9658730249,0.9701821314,0.9668873576,0.005198338651,0.004159460791
smr3,0.9683798026,0.9731924654,0.9383217175,0.9498871211,0.9576990236,0.9482232596,0.955950565,0.01313072008,0.01050657123
qacE,0.9895585144,1.011939177,1.008960737,1.009487736,1.014485497,1.008059743,1.007081901,0.008896625101,0.007118651894
qacEDsul1,0.9411011089,0.9266493187,0.9477263876,0.9158712292,0.9196280718,0.9559532863,0.9344882338,0.01617772036,0.01294463444
qacF,0.9630169788,0.9640212792,0.9634980916,0.9764823217,0.9687795606,0.9736140436,0.9682353793,0.005738823225,0.004591930575
qacG,0.9712693836,0.9785893778,0.9785763565,0.9831696731,0.9775778168,0.9790513485,0.9780389927,0.003846575603,0.003077844957
qacH,0.9543932349,0.9875313133,0.9725331421,0.9857905571,0.9775790035,0.999248889,0.97951269,0.015340585,0.01227479895
qacK,0.8865305127,0.9085217267,0.9377801341,0.9442564786,0.9632768439,0.9700480093,0.9350689509,0.03216120655,0.02573385203
qacL,0.9923568446,0.9976720371,0.9900569205,0.992044988,0.9994863811,0.9954361337,0.9945088842,0.003637659768,0.002910680545
qacM,0.9901507078,0.9791167933,0.9863856622,0.9872055228,0.9879325829,0.9900149756,0.9868010407,0.004054968261,0.003244590747
